id,name,description
0,Royal Academy of Fine Arts Antwerp,"The Royal Academy of Fine Arts Antwerp (Dutch: Koninklijke Academie voor Schone Kunsten van Antwerpen) is an art academy located in Antwerp, Belgium. It is one of the oldest of its kind in Europe. It was founded in 1663 by David Teniers the Younger, painter to the Archduke Leopold Wilhelm and Don Juan of Austria. Teniers was master of the Guild of St Luke—which embraced arts and some handicrafts—and petitioned Philip IV of Spain, then master of the Spanish Netherlands, to grant a royal charter to establish a Fine Arts Academy in Antwerp. It houses the Antwerp Fashion Academy."
1,Académie Royale des Beaux-Arts,"The Royal Academy of Fine Arts of Brussels (French: Académie Royale des Beaux-Arts - École supérieure des Arts de la Ville de Bruxelles (ARBA-ESA), Dutch: Koninklijke Academie voor Schone Kunsten van Brussel), is an art school established in Brussels, Belgium. It was founded in 1711. Starting from modest beginnings in a single room in Brussels' Town Hall, it has since 1876 been operating from a former convent and orphanage in the Rue du Midi/Zuidstraat, which was converted by the architect Victor Jamaer [fr]. The school has played an important role in training important local artists."
2,Académie Suisse,"The Académie Suisse was a very popular, informal, art school founded by Martin François Suisse (1781–1859)[1][2] in 1815,[3] and was located at the corner of the Quai des Orfévres (No. 4) and the Boulevard du Palais, in Paris, France. From Delacroix to Cézanne, most major French artists frequented this venue to meet colleagues and to study after male and female models."
3,École nationale supérieure des beaux-arts,"The Beaux-Arts de Paris is a French grande école whose primary mission is to provide high-level arts education and training. This is classical and historical School of Fine Arts in France. The art school, which is part of the Paris Sciences et Lettres University, is located on two sites: Saint-Germain-des-Prés in Paris, and Saint-Ouen.

The Parisian institution is made up of a complex of buildings located at 14 rue Bonaparte, between the quai Malaquais and the rue Bonaparte. This is in the heart of Saint-Germain-des-Prés, just across the Seine from the Louvre museum. The school was founded in 1648 by Charles Le Brun as the famed French academy Académie royale de peinture et de sculpture. In 1793, at the height of the French Revolution, the institutes were suppressed. However, in 1817, following the Bourbon Restoration, it was revived under a changed name after merging with the Académie d'architecture. Held under the King's tutelage until 1863, an imperial decree on November 13, 1863 named the school's director, who serves for a five-year term. Long supervised by the Ministry of Public Instruction, the École des Beaux-Arts is now a public establishment under the Ministry of Culture."
4,Royal Academy of Arts,"The Royal Academy of Arts (RA) is an art institution based in Burlington House on Piccadilly in London. Founded in 1768, it has a unique position as an independent, privately funded institution led by eminent artists and architects. Its purpose is to promote the creation, enjoyment and appreciation of the visual arts through exhibitions, education and debate."
5,National Academy of Design,"The National Academy of Design is an honorary association of American artists, founded in New York City in 1825 by Samuel Morse, Asher Durand, Thomas Cole, Martin E. Thompson, Charles Cushing Wright, Ithiel Town, and others ""to promote the fine arts in America through instruction and exhibition.""[1] Membership is limited to 450 American artists and architects, who are elected by their peers on the basis of recognized excellence."
6,Collège-lycée Jacques-Decour,"The school was founded as the private Collège Sainte-Barbe in 1821 and renamed Collège Rollin in 1830. It was transplanted in 1876 from the Quartier Latin to avenue Trudaine, near Montmartre. The old building on rue Lhomond became the site of the Protestant Faculty of Theology in Paris in 1877. Collège Rollin was granted municipal status,[1] and became Lycée Rollin in 1919. It is the only secondary school in Paris to have taken the name of a former teacher, Jacques Decour, a French Resistance fighter in 1944."
7,Kunstakademie Düsseldorf,"The Kunstakademie Düsseldorf is the academy of fine arts of the state of North Rhine Westphalia at the city of Düsseldorf, Germany. Notable artists who studied or taught at the academy include Joseph Beuys, Gerhard Richter, Magdalena Jetelová, Gotthard Graubner, Nam June Paik, Nan Hoover, Katharina Fritsch, Tony Cragg, Ruth Rogers-Altmann, Sigmar Polke, Anselm Kiefer, Rosemarie Trockel, Thomas Schütte, Katharina Grosse and photographers Thomas Ruff, Thomas Demand, Thomas Struth, Andreas Gursky and Candida Höfer. In the stairway of its main entrance are engraved the Words: ""Für unsere Studenten nur das Beste"" (""For our Students only the Best"")."
8,Academy of Fine Arts Vienna,"The Academy of Fine Arts Vienna (German: Akademie der bildenden Künste Wien) is a public art school in Vienna, Austria."
9,Pennsylvania Academy of the Fine Arts,"The Pennsylvania Academy of the Fine Arts (PAFA) is a museum and private art school in Philadelphia, Pennsylvania.[4] It was founded in 1805 and is the first and oldest art museum and art school in the United States.[4] The academy's museum is internationally known for its collections of 19th- and 20th-century American paintings, sculptures, and works on paper. Its archives house important materials for the study of American art history, museums, and art training. It offers a Bachelor of Fine Arts, Master of Fine Arts, certificate programs, and continuing education."
