id,url,source_url,caption
0,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Vincent+Van+Gogh.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project_%28454045%29.jpg/220px-Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project_%28454045%29.jpg,"Self-Portrait, 1887, Art Institute of Chicago"
1,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Pierre+Auguste+Renoir.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Pierre_Auguste_Renoir%2C_uncropped_image.jpg/270px-Pierre_Auguste_Renoir%2C_uncropped_image.jpg,
2,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Claude+Oscar+Monet.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Claude_Monet_1899_Nadar_crop.jpg/220px-Claude_Monet_1899_Nadar_crop.jpg,Monet c. 1899
3,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Fernando+Botero.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Fernando_Botero_2.jpg/220px-Fernando_Botero_2.jpg,Fernando Botero in December 2006
4,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Jean-L%C3%A9on+G%C3%A9r%C3%B4me.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Jean-Leon_Gerome.jpg/220px-Jean-Leon_Gerome.jpg,Photograph by Nadar
6,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Rembrandt+Van+Rijn.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Rembrandt_van_Rijn_-_Self-Portrait_-_Google_Art_Project.jpg/220px-Rembrandt_van_Rijn_-_Self-Portrait_-_Google_Art_Project.jpg,"Self-Portrait with Beret and Turned-Up Collar (1659), National Gallery of Art, Washington, D.C."
8,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Gustav+Klimt.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Klimt.jpg/220px-Klimt.jpg,Photographic portrait from 1914
9,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Joseph+Mallord+William+Turner.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Joseph_Mallord_William_Turner_Self_Portrait_1799.jpg/220px-Joseph_Mallord_William_Turner_Self_Portrait_1799.jpg,"Self-Portrait, oil on canvas, c. 1799"
11,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Michelangelo+Buonarroti.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Michelangelo_Daniele_da_Volterra_%28dettaglio%29.jpg/220px-Michelangelo_Daniele_da_Volterra_%28dettaglio%29.jpg,"Portrait by Daniele da Volterra, c. 1545"
12,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Francisco+De+Goya+y+Lucientes.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Vicente_L%C3%B3pez_Porta%C3%B1a_-_el_pintor_Francisco_de_Goya.jpg/220px-Vicente_L%C3%B3pez_Porta%C3%B1a_-_el_pintor_Francisco_de_Goya.jpg,"Portrait of Goya by Vicente López Portaña, c. 1826. Museo del Prado, Madrid"
13,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Winslow+Homer.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Winslow_Homer_by_Sarony.jpeg/220px-Winslow_Homer_by_Sarony.jpeg,"Winslow Homer, 1880;photo by Napoleon Sarony (1821–1896)"
14,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Eugene+Delacroix.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/F%C3%A9lix_Nadar_1820-1910_portraits_Eug%C3%A8ne_Delacroix_restored.jpg/220px-F%C3%A9lix_Nadar_1820-1910_portraits_Eug%C3%A8ne_Delacroix_restored.jpg,"Eugène Delacroix, c. 1857 (photographed by Nadar)"
15,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Henri+De+Toulouse-Lautrec.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Photolautrec.jpg/220px-Photolautrec.jpg,Photo taken in 1894
17,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Camille+Pissarro.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Pissarro-portrait.jpg/220px-Pissarro-portrait.jpg,"Camille Pissarro, c. 1900"
18,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Paul+Gauguin.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Paul_Gauguin_1891.png/220px-Paul_Gauguin_1891.png,Gauguin in 1891
19,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Edouard+Manet.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/2/20/%C3%89douard_Manet%2C_en_buste%2C_de_face_-_Nadar.jpg/220px-%C3%89douard_Manet%2C_en_buste%2C_de_face_-_Nadar.jpg,Édouard Manet before 1870
20,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/Canaletto.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Giovanni_Antonio_Canal.jpg/220px-Giovanni_Antonio_Canal.jpg,
21,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/artist_pictures/John+Constable.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/4/46/John_Constable_by_Daniel_Gardner%2C_1796.JPG/220px-John_Constable_by_Daniel_Gardner%2C_1796.JPG,"John Constable by Daniel Gardner, 1796"
