source_artwork,url
3148,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of 6th Sokol Festival. 1912 in the style of Alphonse Maria Mucha.png
1480,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Back Road, c.1880s in the style of Childe Hassam.png"
182,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Backwater at Calcot Near Reading in the style of John Singer Sargent.png
2493,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Ball During the Reign of Henri IV in the style of Louis de Caullery.png
2497,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Banquet Scene in the style of Louis de Caullery.png
1405,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Basket Of Peaches in the style of Jean-Baptiste-Simeon Chardin.png
3275,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Bath (An Antique Custom) in the style of Sir Lawrence Alma-Tadema.png
1521,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Bather I in the style of Lord Frederick Leighton.png
1724,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Bay Thoroughbred in a Landscape, 1801 in the style of George Stubbs.png"
229,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Beech Wood with Gypsies seated in the Distance, c.1799-1801 in the style of Joseph Mallord William Turner.png"
3122,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Berber of Southern Tunis in the style of Harry Hamilton Johnston.png
975,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Bit Of Roman Aqueduct in the style of George Inness.png
528,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Boat Passing a Lock 2 in the style of John Constable.png
3481,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Bowl Of Flowers Including Apple Blossom, Lilac And Peonies in the style of Blanche Odin.png"
30,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Bowlful Of Roses in the style of Pierre Auguste Renoir.png
46,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Box In The Theater Des Varietes in the style of Pierre Auguste Renoir.png
1250,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Breed in the style of Frederic Remington.png
2706,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A British Man-Of-War And Other Shipping In A Calm in the style of Peter Monamy.png
1252,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Brush With The Redskins in the style of Frederic Remington.png
480,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Bunch Of Asparagus in the style of Edouard Manet.png
3389,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Busy Canal Scene In A Dutch Town in the style of Charles Henri Leickert.png
481,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Cafe Interior 1869 in the style of Edouard Manet.png
3540,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Captive Audience, Cairo in the style of Arthur von Ferraris.png"
604,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Cardiff Shipping Lane in the style of Alfred Sisley.png
1900,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Carriage and Pair, with Coachman in the style of Paul Sandby.png"
50,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Cart On The Snow Covered Road With Saint Simeon Farm in the style of Claude Oscar Monet.png
1338,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Carthorse eating hay from a wheel-barrow in a farmyard in the style of John Frederick Herring Snr.png
919,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Catskill Landscape, c.1858-60 in the style of Frederic Edwin Church.png"
1075,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Cherub Carrying Flowers (2) in the style of Annibale Carracci.png
1076,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Cherub Carrying Flowers in the style of Annibale Carracci.png
2264,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Childhood Idyll in the style of William-Adolphe Bouguereau.png
1818,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Childrens Tea Party in the style of William Hogarth.png
3424,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Chop for One in the style of Horatio Henry Couldery.png
2485,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Circassian Lady in the style of William Henry Hunt.png
2539,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Classical Beauty I in the style of John William Godward.png
2535,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Classical Lady in the style of John William Godward.png
