id,name,description
0,Oil on canvas,"Oil painting is the process of painting with pigments with a medium of drying oil as the binder. It has been the most common technique for artistic painting on wood panel or canvas for several centuries, spreading from Europe to the rest of the world. Canvas is a durable plain-woven fabric usually made from cotton or hemp yarn. It is used to create crafts and paintings. Many of the world's most iconic paintings were made on canvas."
1,Oil on panel,"Oil painting is the process of painting with pigments with a medium of drying oil as the binder. It has been the most common technique for artistic painting on wood panel or canvas for several centuries, spreading from Europe to the rest of the world. A panel painting is a painting made on a flat panel of wood, either a single piece or a number of pieces joined together. Until canvas became the more popular support medium in the 16th century, panel painting was the normal method, when not painting directly onto a wall (fresco) or on vellum (used for miniatures in illuminated manuscripts). Wood panels were also used for mounting vellum paintings."
2,Mixed media,"In visual art, mixed media describes artwork in which more than one medium or material has been employed.[1][2] Assemblages, collages, and sculpture are three common examples of art using different media. Materials used to create mixed media art include, but are not limited to, paint, cloth, paper, wood and found objects.[citation needed]

Mixed media art is distinguished from multimedia art which combines visual art with non-visual elements, such as recorded sound, literature, drama, dance, motion graphics, music, or interactivity."
3,Oil on wood,"Oil painting is the process of painting with pigments with a medium of drying oil as the binder. It has been the most common technique for artistic painting on wood panel or canvas for several centuries, spreading from Europe to the rest of the world. Wood is a structural tissue found in the stems and roots of trees and other woody plants. It is an organic material – a natural composite of cellulose fibers that are strong in tension and embedded in a matrix of lignin that resists compression. Wood is sometimes defined as only the secondary xylem in the stems of trees,[1] or it is defined more broadly to include the same type of tissue elsewhere such as in the roots of trees or shrubs.[citation needed] In a living tree it performs a support function, enabling woody plants to grow large or to stand up by themselves. It also conveys water and nutrients between the leaves, other growing tissues, and the roots. Wood may also refer to other plant materials with comparable properties, and to material engineered from wood, or woodchips or fiber.

Wood has been used for thousands of years for fuel, as a construction material, for making tools and weapons, furniture and paper. More recently it emerged as a feedstock for the production of purified cellulose and its derivatives, such as cellophane and cellulose acetate.

As of 2020, the growing stock of forests worldwide was about 557 billion cubic meters.[2] As an abundant, carbon-neutral[3] renewable resource, woody materials have been of intense interest as a source of renewable energy. In 2008, approximately 3.97 billion cubic meters of wood were harvested.[2] Dominant uses were for furniture and building construction."
4,Marble,"Marble is a metamorphic rock composed of recrystallized carbonate minerals, most commonly calcite or dolomite. Marble is typically not foliated (layered), although there are exceptions. In geology, the term marble refers to metamorphosed limestone, but its use in stonemasonry more broadly encompasses unmetamorphosed limestone.[1] Marble is commonly used for sculpture and as a building material."
5,Oil on paper,"Oil painting is the process of painting with pigments with a medium of drying oil as the binder. It has been the most common technique for artistic painting on wood panel or canvas for several centuries, spreading from Europe to the rest of the world. Paper is a thin sheet material produced by mechanically or chemically processing cellulose fibres derived from wood, rags, grasses or other vegetable sources in water, draining the water through fine mesh leaving the fibre evenly distributed on the surface, followed by pressing and drying. Although paper was originally made in single sheets by hand, almost all is now made on large machines—some making reels 10 metres wide, running at 2,000 metres per minute and up to 600,000 tonnes a year. It is a versatile material with many uses, including printing, painting, graphics, signage, design, packaging, decorating, writing, and cleaning. It may also be used as filter paper, wallpaper, book endpaper, conservation paper, laminated worktops, toilet tissue, or currency and security paper, or in a number of industrial and construction processes."
6,Tempera on panel,"Tempera (Italian: [ˈtɛmpera]), also known as egg tempera, is a permanent, fast-drying painting medium consisting of colored pigments mixed with a water-soluble binder medium, usually glutinous material such as egg yolk. Tempera also refers to the paintings done in this medium. Tempera paintings are very long-lasting, and examples from the first century AD still exist. Egg tempera was a primary method of painting until after 1500 when it was superseded by oil painting. A paint consisting of pigment and binder commonly used in the United States as poster paint is also often referred to as ""tempera paint"", although the binders in this paint are different from traditional tempera paint. A panel painting is a painting made on a flat panel of wood, either a single piece or a number of pieces joined together. Until canvas became the more popular support medium in the 16th century, panel painting was the normal method, when not painting directly onto a wall (fresco) or on vellum (used for miniatures in illuminated manuscripts). Wood panels were also used for mounting vellum paintings."
7,Oil on masonite,"Oil painting is the process of painting with pigments with a medium of drying oil as the binder. It has been the most common technique for artistic painting on wood panel or canvas for several centuries, spreading from Europe to the rest of the world. Masonite is a type of hardboard, a kind of engineered wood, which is made of steam-cooked and pressure-molded wood fibers in a process patented by William H. Mason.[2] It is also called Quartrboard,[3] Isorel, hernit, karlit, torex, treetex,[4] and pressboard."
8,Fresco,"Fresco (plural frescos or frescoes) is a technique of mural painting executed upon freshly laid (""wet"") lime plaster. Water is used as the vehicle for the dry-powder pigment to merge with the plaster, and with the setting of the plaster, the painting becomes an integral part of the wall. The word fresco (Italian: affresco) is derived from the Italian adjective fresco meaning ""fresh"", and may thus be contrasted with fresco-secco or secco mural painting techniques, which are applied to dried plaster, to supplement painting in fresco. The fresco technique has been employed since antiquity and is closely associated with Italian Renaissance painting.[1][2] The word fresco is commonly and inaccurately used in English to refer to any wall painting regardless of the plaster technology or binding medium. This, in part, contributes to a misconception that the most geographically and temporally common wall painting technology was the painting into wet lime plaster. Even in apparently Buon fresco technology, the use of supplementary organic materials was widespread, if underrecognized."
9,Bronze,"Bronze is an alloy consisting primarily of copper, commonly with about 12–12.5% tin and often with the addition of other metals (including aluminium, manganese, nickel, or zinc) and sometimes non-metals, such as phosphorus, or metalloids such as arsenic or silicon. These additions produce a range of alloys that may be harder than copper alone, or have other useful properties, such as strength, ductility, or machinability.

The archaeological period in which bronze was the hardest metal in widespread use is known as the Bronze Age. The beginning of the Bronze Age in western Eurasia and India is conventionally dated to the mid-4th millennium BCE (~3500 BCE), and to the early 2nd millennium BCE in China;[1] elsewhere it gradually spread across regions. The Bronze Age was followed by the Iron Age starting from about 1300 BCE and reaching most of Eurasia by about 500 BCE, although bronze continued to be much more widely used than it is in modern times.

Because historical artworks were often made of brasses (copper and zinc) and bronzes with different compositions, modern museum and scholarly descriptions of older artworks increasingly use the generalized term ""copper alloy"" instead."
