id,name,description
0,Ashcan School,"The Ashcan School, also called the Ash Can School, was an artistic movement in the United States during the late 19th-early 20th century[1] that produced works portraying scenes of daily life in New York, often in the city's poorer neighborhoods.

The artists working in this style included Robert Henri (1865–1929), George Luks (1867–1933), William Glackens (1870–1938), John Sloan (1871–1951), and Everett Shinn (1876–1953). Some of them met studying together under the renowned realist Thomas Anshutz at the Pennsylvania Academy of the Fine Arts; others met in the newspaper offices of Philadelphia where they worked as illustrators. Theresa Bernstein, who studied at the Philadelphia School of Design for Women, was also a part of the Ashcan School. She was friends with many of its better-known members, including Sloan with whom she co-founded the Society of Independent Artists.

The movement, which took some inspiration from Walt Whitman's epic poem Leaves of Grass, has been seen as emblematic of the spirit of political rebellion of the period."
1,Pre-Raphaelite Brotherhood,"The Pre-Raphaelite Brotherhood (later known as the Pre-Raphaelites) was a group of English painters, poets, and art critics, founded in 1848 by William Holman Hunt, John Everett Millais, Dante Gabriel Rossetti, William Michael Rossetti, James Collinson, Frederic George Stephens and Thomas Woolner who formed a seven-member ""Brotherhood"" modelled in part on the Nazarene movement.[1] The Brotherhood was only ever a loose association and their principles were shared by other artists of the time, including Ford Madox Brown, Arthur Hughes and Marie Spartali Stillman. Later followers of the principles of the Brotherhood included Edward Burne-Jones, William Morris and John William Waterhouse.

The group sought a return to the abundant detail, intense colours and complex compositions of Quattrocento Italian art. They rejected what they regarded as the mechanistic approach first adopted by Mannerist artists who succeeded Raphael and Michelangelo. The Brotherhood believed the Classical poses and elegant compositions of Raphael in particular had been a corrupting influence on the academic teaching of art, hence the name ""Pre-Raphaelite"". In particular, the group objected to the influence of Sir Joshua Reynolds, founder of the English Royal Academy of Arts, whom they called ""Sir Sloshua"". To the Pre-Raphaelites, according to William Michael Rossetti, ""sloshy"" meant ""anything lax or scamped in the process of painting ... and hence ... any thing or person of a commonplace or conventional kind"".[2] The group associated their work with John Ruskin,[3] an English critic whose influences were driven by his religious background. Christian themes were abundant.[4]

The group continued to accept the concepts of history painting and mimesis, imitation of nature, as central to the purpose of art. The Pre-Raphaelites defined themselves as a reform movement, created a distinct name for their form of art, and published a periodical, The Germ, to promote their ideas. The group's debates were recorded in the Pre-Raphaelite Journal. The Brotherhood separated after almost five years."
2,Synthetism,"Synthetism is a term used by post-Impressionist artists like Paul Gauguin, Émile Bernard and Louis Anquetin to distinguish their work from Impressionism. Earlier, Synthetism has been connected to the term Cloisonnism, and later to Symbolism.[1] The term is derived from the French verb synthétiser (to synthesize or to combine so as to form a new, complex product)."
3,Tonalism,"Tonalism was an artistic style that emerged in the 1880s when American artists began to paint landscape forms with an overall tone of colored atmosphere or mist. Between 1880 and 1915, dark, neutral hues such as gray, brown or blue, often dominated compositions by artists associated with the style.[1] During the late 1890s, American art critics began to use the term ""tonal"" to describe these works, as well as the lesser-known synonyms Quietism and Intimism.[2][3] Two of the leading associated painters were George Inness and James McNeill Whistler.[4]

Tonalism is sometimes used to describe American landscapes derived from the French Barbizon style,[5] which emphasized mood and shadow.[6] Tonalism was eventually eclipsed by Impressionism and European modernism.

Australian Tonalism emerged as an art movement in Melbourne during the 1910s."
4,Symbolism,"Symbolism was a late 19th-century art movement of French and Belgian origin in poetry and other arts seeking to represent absolute truths symbolically through language and metaphorical images, mainly as a reaction against naturalism and realism.

In literature, the style originates with the 1857 publication of Charles Baudelaire's Les Fleurs du mal. The works of Edgar Allan Poe, which Baudelaire admired greatly and translated into French, were a significant influence and the source of many stock tropes and images. The aesthetic was developed by Stéphane Mallarmé and Paul Verlaine during the 1860s and 1870s. In the 1880s, the aesthetic was articulated by a series of manifestos and attracted a generation of writers. The term ""symbolist"" was first applied by the critic Jean Moréas, who invented the term to distinguish the Symbolists from the related Decadents of literature and of art."
5,Intimism,"Intimism (French: intimisme) was an artistic movement in the late 19th-century and early 20th-century that involved the depiction of banal yet personal domestic scenes, particularly those within domestic interiors. Intimism was most notably practiced by French painters Édouard Vuillard and Pierre Bonnard after the 1899 disbandment of Les Nabis.[1][2] Edgar Degas and Felix Vallotton have also been characterized as intimists.[3] The main interest of the intimists was their own intimate life such as portraying their family members instead of focusing on more general topics.[4]

French art critic Camille Mauclair defined Intimism as:[5]

a revelation of the soul through the things painted, the magnetic suggestion of what lies behind them through the description of the outer appearance, the intimate meaning of the spectacles of life

While the movement is often associated with Impressionism, the Intimists diverged from the Impressionists in abandoning a focus on formal accuracy in depiction of light, color, and perspective in favor of emphasized texture, exaggerated palette, and merged figure and ground.[6][2][7]

The term ""intimism"" has since been extended to artists outside of the historical period who utilize similar techniques. Intimist film, for example, refers to cinema that utilizes domestic narratives or places focus on the mundane.[8] Brian Fallon referred to Veronica Bolay as an intimiste."
6,Newlyn School,"The Newlyn School was an art colony of artists based in or near Newlyn, a fishing village adjacent to Penzance, on the south coast of Cornwall, from the 1880s until the early twentieth century. The establishment of the Newlyn School was reminiscent of the Barbizon School in France, where artists fled Paris to paint in a more pure setting emphasising natural light. These schools along with a related California movement were also known as En plein air.

Some of the first British artists to settle in the area had already travelled in Brittany, but found in Newlyn a comparable English environment with a number of things guaranteed to attract them: fantastic light, cheap living, and the availability of inexpensive models. The artists were fascinated by the fishermen's working life at sea and the everyday life in the harbour and nearby villages. Some paintings showed the hazards and tragedy of the community's life, such as women anxiously looking out to sea as the boats go out, or a young woman crying on hearing news of a disaster. Walter Langley is generally recognised as the pioneer of the Newlyn art colony and Stanhope Forbes, who settled there in 1884, as the father of it. The later Forbes School of Painting, founded by Forbes and his wife Elizabeth in 1899, promoted the study of figure painting. A present-day Newlyn School of Art was formed in 2011 with Arts Council funding providing art courses taught by many of the best-known artists working in Cornwall today.

In the late nineteenth and early twentieth centuries, Lamorna, a nearby fishing village to the south, became popular with artists of the Newlyn School and is particularly associated with the artist S. J. ""Lamorna"" Birch who lived there from 1908."
7,Regionalism,"American Regionalism is an American realist modern art movement that included paintings, murals, lithographs, and illustrations depicting realistic scenes of rural and small-town America primarily in the Midwest. It arose in the 1930s as a response to the Great Depression, and ended in the 1940s due to the end of World War II and a lack of development within the movement. It reached its height of popularity from 1930 to 1935, as it was widely appreciated for its reassuring images of the American heartland during the Great Depression.[1] Despite major stylistic differences between specific artists, Regionalist art in general was in a relatively conservative and traditionalist style that appealed to popular American sensibilities, while strictly opposing the perceived domination of French art."
8,Modernism,"Modernism is both a philosophical and arts movement that arose from broad transformations in Western society during the late 19th and early 20th centuries. The movement reflected a desire for the creation of new forms of art, philosophy, and social organization which reflected the newly emerging industrial world, including features such as urbanization, architecture, new technologies, and war. Artists attempted to depart from traditional forms of art, which they considered outdated or obsolete. The poet Ezra Pound's 1934 injunction to ""Make it New"" was the touchstone of the movement's approach.

Modernist innovations included abstract art, the stream-of-consciousness novel, montage cinema, atonal and twelve-tone music, divisionist painting and modern architecture. Modernism explicitly rejected the ideology of realism[a][2][3] and made use of the works of the past by the employment of reprise, incorporation, rewriting, recapitulation, revision and parody.[b][c][4] Modernism also rejected the certainty of Enlightenment thinking, and many modernists also rejected religious belief.[5][d] A notable characteristic of modernism is self-consciousness concerning artistic and social traditions, which often led to experimentation with form, along with the use of techniques that drew attention to the processes and materials used in creating works of art.[7]

While some scholars see modernism continuing into the 21st century, others see it evolving into late modernism or high modernism.[8] Postmodernism is a departure from modernism and rejects its basic assumptions."
9,Les Nabis,"Les Nabis (French: les nabis, French pronunciation: ​[le nabi]) were a group of young French artists active in Paris from 1888 until 1900, who played a large part in the transition from impressionism and academic art to abstract art, symbolism and the other early movements of modernism. The members included Pierre Bonnard, Maurice Denis, Paul Ranson, Édouard Vuillard, Ker-Xavier Roussel, Félix Vallotton, Paul Sérusier and Auguste Cazalis.[1] Most were students at the Académie Julian in Paris in the late 1880s. The artists shared a common admiration for Paul Gauguin and Paul Cézanne and a determination to renew the art of painting, but varied greatly in their individual styles. They believed that a work of art was not a depiction of nature, but a synthesis of metaphors and symbols created by the artist.[2] In 1900, the artists held their final exhibition and went their separate ways."
