id,name,parent
0,Zundert,213.0
1,Limoges,214.0
2,Paris,214.0
3,Medellín,215.0
4,Vesoul,216.0
5,Leiden,217.0
6,Baumgarten,218.0
7,London,219.0
8,Caprese,220.0
9,Fuendetodos,221.0
10,Boston,222.0
11,Charenton-Saint-Maurice,223.0
12,Albi,224.0
13,Charlotte Amalie,225.0
14,Venice,227.0
15,East Bergholt,228.0
16,Pieve di Cadore,229.0
17,Solingen,230.0
18,Tulln an der Donau,231.0
19,Allegheny City,232.0
20,near Florence,220.0
21,Bourges,233.0
22,Bordeaux,214.0
23,Lumberville,232.0
24,Bolton,234.0
25,Hartford,235.0
26,Newburgh,236.0
27,Valencia,237.0
28,Florence,220.0
29,Bologna,238.0
30,Ornans,239.0
31,Milan,240.0
32,Honfleur,214.0
33,Canton,236.0
34,Rouen,241.0
35,Nineveh,242.0
36,Breda or Breugel,
37,Rue de Seine,2.0
38,Grasse,214.0
39,Feodosia,243.0
40,Dorchester,10.0
41,Scarborough,244.0
42,Columbus,245.0
43,Sudbury,228.0
44,Greifswald,246.0
45,Nantes,247.0
46,Gruchy,248.0
47,Liverpool,234.0
48,Cuiseaux,249.0
49,Valenciennes,214.0
50,near Les Andelys,241.0
51,Delft,250.0
52,'s-Hertogenbosch,251.0
53,Warnham,252.0
54,Verona,
55,Bordentown,253.0
56,Dunfermline,254.0
57,Kilimanoor,255.0
58,La Rochelle,256.0
59,York,219.0
60,Stockholm,257.0
61,Stockbridge,199.0
62,Cincinnati,258.0
63,Aschaffenburg,259.0
64,Brussels,260.0
65,Wimbledon,219.0
66,Antwerp,261.0
67,London 1681,
68,Porvoo,262.0
69,Great Marlow,263.0
70,Kisszeben,264.0
71,Anamosa,265.0
72,Rome,
73,Colmenar de Oreja,237.0
74,Handsworth,266.0
75,Warsaw,267.0
76,Plympton,268.0
77,Parma,240.0
78,Ivančice,269.0
79,Amsterdam,213.0
80,Lewiston,270.0
81,Ústí nad Labem,271.0
82,Dronryp,272.0
83,Seville,273.0
84,[a] Vinci,
85,Volpedo,274.0
86,Coyoacán,276.0
87,Great Neck,236.0
88,Correggio,277.0
89,Menzenschwand,278.0
90,Chichester,279.0
91,Marseille,
92,Southampton,280.0
93,Tournus,281.0
94,Middenbeemster,217.0
95,Stronach,282.0
96,Feldsberg,283.0
97,probably Venice,284.0
98,Norwich,219.0
99,Forlì,
100,Taishan,285.0
101,Swabia,286.0
102,Neuruppin,287.0
103,Montauban,288.0
104,Madrid,237.0
105,Münchenbuchsee,289.0
106,Edo,290.0
107,St John's Wood,7.0
108,Caherconlish,291.0
109,Lowell,222.0
110,Les Cayes,292.0
111,Cheshire,235.0
112,Piacenza,293.0
113,Oakland,294.0
114,Lyon,214.0
115,Beaugency,214.0
116,Nancy,295.0
117,Lübeck,296.0
118,Naples,284.0
119,Haarlem,213.0
120,Berlin,297.0
121,Philadelphia,232.0
122,Bristol,219.0
123,Radom,298.0
124,Keppel Street,300.0
125,Grenoble,214.0
126,Trélon,301.0
127,Udine,229.0
128,Townhead,302.0
129,Birmingham,219.0
130,Reggio Calabria,284.0
131,Boulogne-Billancourt,214.0
132,Albano,284.0
133,Mora,257.0
134,Versailles,214.0
135,Lovell,270.0
136,Setauket,236.0
137,Nolde,303.0
138,Soest,305.0
139,Brighton,279.0
140,Springfield,306.0
141,Le Cateau-Cambrésis,214.0
142,New York City,
143,Ins,289.0
144,Maplewood,253.0
145,Le Mans,214.0
146,Namur,304.0
147,Sant'Angelo in Vado,
148,Tettenweis,259.0
149,La Bassée,214.0
150,Granvin,307.0
151,Aguascalientes,308.0
152,Munkács,309.0
153,Cento,
154,Champigné,310.0
155,Monza,284.0
156,Budapest,311.0
157,Southwark,7.0
158,Camerano,312.0
159,Moscow,313.0
160,either Fodele or Candia,314.0
161,Ferrara,
162,Whitefish Bay,315.0
163,Madras,317.0
164,Roxbury,222.0
165,Stockwell,318.0
166,Rotterdam,
167,Troyes,214.0
168,Baltimore,319.0
169,Játiva,27.0
170,Landshut,286.0
171,Cork,320.0
172,Abbey House,321.0
173,Christiania,322.0
174,Genoa,323.0
175,Balle Mølle,324.0
176,Free Imperial City of Frankfurt in the Holy Roman Empire,
177,Wolgast,286.0
178,Dublin,326.0
179,Badoc,327.0
180,Frankenthal,
181,8th arrondissement of Paris,
182,Montpellier,328.0
183,Kiev,329.0
184,Harrisburg,232.0
185,Pitaru,330.0
186,Bessines-sur-Gartempe,214.0
187,Siegen,331.0
188,Fontenay-aux-Roses,332.0
189,Vienna,218.0
190,Brașov,218.0
191,Calvert County,319.0
192,Whitechapel,7.0
193,Vestre Aker,322.0
194,Pratovecchio,284.0
195,Fabriano,238.0
196,Dordrecht,213.0
197,Utrecht,333.0
198,Chatham,334.0
199,Edinburgh,
200,Terheijden,213.0
201,Sunderland,219.0
202,Chevilly,289.0
203,Libourne,
204,Bayonne,214.0
205,Senlis,335.0
206,Venezia,
207,Nice,336.0
208,Lille,214.0
209,Tournan-en-Brie,338.0
210,Toulouse,339.0
211,Messina,340.0
212,Republic of Florence (present-day Tuscany,341.0
213,Netherlands,
214,France,
215,Colombia,
216,Haute-Saône,
217,Dutch Republic,
218,Austrian Empire,
219,England,
220,Republic of Florence,
221,Aragon,
222,Massachusetts,
223,Île-de-France,
224,Tarn,
