artwork,recommended
0,10013
0,5645
1,5693
2,4174
6,8320
10,4789
12,878
15,732
15,900
19,472
20,2123
22,4624
25,755
25,943
25,1751
25,0
26,7015
26,8297
26,1889
27,5909
27,1526
29,354
29,566
32,6292
34,8961
37,10135
37,2410
38,1816
38,7006
39,5890
39,1148
40,521
41,9428
42,4208
42,7922
45,3018
49,44
49,3584
53,6856
54,8746
56,6056
57,354
60,4822
65,9692
66,7189
66,4092
67,8904
68,6464
76,2369
78,10364
78,3680
79,5375
79,1554
81,4843
83,8450
85,4793
87,3992
87,6089
89,5522
90,9027
94,1401
95,435
96,585
97,3425
98,6916
98,10166
100,9408
101,6174
104,5192
104,7226
105,1634
107,122
109,106
110,416
112,3680
112,3887
115,2463
118,5627
120,73
122,107
123,989
125,4458
126,41
126,9855
127,5763
127,5567
131,5565
132,6138
133,7986
134,2866
135,4425
135,7406
137,3425
137,936
137,6076
137,5574
143,5839
146,8512
149,5569
151,3780
151,50
151,2
151,2268
151,1861
157,3499
157,6573
157,3290
159,258
160,4141
164,6104
165,7857
166,2250
169,6441
172,7471
184,5264
184,8646
185,5721
188,850
190,7352
191,1293
192,9523
192,8314
192,9197
194,400
195,3459
197,1493
198,7939
200,2571
203,6294
207,5438
207,230
208,219
208,223
208,203
208,3126
208,224
209,5910
210,9444
210,2206
210,2528
211,3043
211,6998
211,696
211,3675
211,599
212,6294
213,217
214,3147
214,203
216,5865
217,215
218,8039
220,6292
220,224
223,203
223,201
226,5557
227,516
229,546
231,534
232,4770
234,7954
235,5387
238,5084
238,1872
243,4987
243,1960
245,10023
249,2286
250,6826
251,8017
252,6350
253,10404
254,10261
254,7340
259,7717
263,8427
266,3081
268,2696
271,9595
274,7026
275,780
275,1713
275,5560
280,7698
281,5632
281,9429
282,3666
283,4682
284,1815
284,10012
285,2020
288,7424
288,287
290,117
293,2300
295,2367
298,3664
305,7082
308,95
310,8883
310,9397
316,9530
318,5408
322,7129
323,3893
326,1710
331,6933
332,3823
335,2646
339,2781
339,9896
341,5377
342,282
344,4141
346,896
348,60
349,2744
351,4127
354,6762
360,4914
360,3566
361,7796
363,8047
364,8058
364,10382
367,3794
367,6849
368,9461
368,3952
368,1092
368,1877
368,1889
369,1082
375,10190
375,5469
375,2239
376,1652
378,4570
378,5840
381,8103
387,9030
387,8114
388,458
390,10515
391,1181
393,925
394,1505
395,854
395,2460
395,8793
399,2256
400,1513
400,9460
400,9467
402,4548
404,3360
405,6695
405,7323
407,113
408,9604
409,1279
409,8752
411,2144
411,3708
411,407
413,1028
415,3974
419,7003
420,3504
421,1900
422,105
427,3805
428,338
428,1611
432,1369
435,131
435,5245
440,7049
440,7322
441,533
442,1347
443,2975
447,7899
450,7799
450,6429
456,78
456,576
456,854
458,2867
458,6118
460,2543
462,5246
463,10239
463,2569
463,1836
464,9222
464,3502
465,826
465,4630
467,51
467,1488
469,10135
470,533
471,9445
473,4735
475,1021
478,5764
478,435
479,8715
484,5253
484,2478
486,37
486,936
491,1351
492,3942
492,5762
494,3021
500,2763
504,3764
504,6513
510,1788
512,5151
513,412
513,943
514,2955
515,5088
517,134
518,507
520,6448
520,6249
523,9052
528,1561
529,1862
529,502
529,55
529,2
530,3790
530,2054
531,284
533,2452
533,8589
534,4169
534,528
535,7634
538,5156
542,5246
545,1121
548,7669
550,7373
552,3732
553,8157
554,7938
556,2070
558,7427
560,8299
561,373
561,6008
563,3632
564,9767
565,2430
568,3469
569,2487
576,1495
578,6107
579,4732
580,10089
581,7170
585,5219
586,4823
588,3997
589,5967
590,9793
590,4618
590,3221
592,10054
601,5572
602,1851
605,8683
606,5457
609,9421
613,8275
620,2766
621,6761
622,6057
626,5907
626,3093
629,2906
629,1860
634,5739
634,7060
634,1001
635,2430
635,7867
636,7604
637,7473
638,2756
638,10230
641,7622
641,29
642,1135
642,3091
642,2345
642,1128
642,6103
648,9115
648,5518
652,8856
653,243
655,2113
655,4384
661,612
663,6349
665,3805
666,2441
668,9729
669,1470
670,8521
673,2709
675,8532
676,10033
678,9730
681,2633
682,6796
682,7582
682,201
682,247
684,5401
685,2751
686,2469
687,5627
689,5520
693,455
694,8589
695,7055
700,6514
701,4295
705,1633
705,740
705,2539
705,2535
705,2536
705,721
706,2545
706,2536
708,7160
711,7508
712,3497
712,2422
713,1328
715,4232
716,9292
717,368
717,1654
717,2260
717,1889
717,400
718,6425
719,2353
719,7004
719,9549
720,7795
722,9528
723,1627
723,741
723,2543
724,710
724,720
725,4052
728,6527
734,7186
735,5521
737,746
738,8229
740,472
740,728
741,4684
742,7566
745,4490
746,15
746,3148
750,4189
753,1041
760,7734
763,7756
763,265
767,2692
767,5105
768,1877
769,6670
771,1046
772,9634
772,3297
776,9240
776,131
778,3758
779,2087
783,5507
786,5782
786,10144
786,2249
786,4309
789,3082
790,37
790,5866
791,2307
792,9703
793,10332
795,513
795,2538
796,6038
804,8742
805,5817
808,4401
812,7664
816,1136
817,4422
821,414
822,1438
824,10285
826,1850
826,5978
828,4439
829,4384
832,31
832,5158
832,5257
833,7541
833,2442
