filename,logit,time
.\images_fake\1.png,-14.259941,4.871066
.\images_fake\10.png,2.417957,4.809377
.\images_fake\1002.png,-2.602079,4.833400
.\images_fake\1003.png,-5.079159,4.794364
.\images_fake\1004.png,-3.524688,4.790360
.\images_fake\1005.png,-5.368038,4.809377
.\images_fake\1006.png,-5.746294,4.833400
.\images_fake\1007.png,-2.811386,4.834400
.\images_fake\1008.png,-2.844469,4.844410
.\images_fake\1009.png,-5.075553,4.809377
.\images_fake\1010.png,-7.518082,4.844410
.\images_fake\1011.png,-3.647985,4.828394
.\images_fake\1012.png,-3.072148,4.837403
.\images_fake\1013.png,-11.242900,4.802371
.\images_fake\1014.png,-2.701231,4.847412
.\images_fake\1015.png,-2.446630,4.831398
.\images_fake\1016.png,-1.906621,4.878441
.\images_fake\1017.png,-3.476199,4.842408
.\images_fake\1019.png,-4.278520,4.864427
.\images_fake\1020.png,-2.548253,4.831397
.\images_fake\1021.png,-5.699899,4.903463
.\images_fake\1024.png,-1.691217,4.824391
.\images_fake\1025.png,-13.108496,4.833400
.\images_fake\1026.png,-6.133877,4.795364
.\images_fake\1027.png,-6.008417,4.844409
.\images_fake\1028.png,-4.879038,4.878440
.\images_fake\1029.png,-8.387634,4.811380
.\images_fake\1030.png,-3.655823,4.846412
.\images_fake\1031.png,-7.634071,4.784354
.\images_fake\1032.png,-11.980151,4.880443
.\images_fake\1033.png,-8.510961,4.812380
.\images_fake\1035.png,-8.752046,4.878440
.\images_fake\1037.png,-7.008752,4.815383
.\images_fake\1038.png,-4.929021,4.835401
.\images_fake\1039.png,-7.370086,4.803372
.\images_fake\1040.png,-8.316134,4.860425
.\images_fake\1041.png,-4.083509,4.956511
.\images_fake\1042.png,-3.401682,4.837403
.\images_fake\1043.png,-11.158428,4.877440
.\images_fake\1044.png,-6.349069,4.870433
.\images_fake\1045.png,-8.856136,4.980533
.\images_fake\1046.png,-9.998919,4.853417
.\images_fake\1047.png,-4.402872,4.848414
.\images_fake\1049.png,-3.760485,4.874436
.\images_fake\1050.png,-7.910451,4.862426
.\images_fake\1051.png,-0.823857,4.878440
.\images_fake\1052.png,-5.942286,5.009560
.\images_fake\1053.png,-5.755219,4.875438
.\images_fake\1054.png,-8.293397,4.883445
.\images_fake\1055.png,-4.265226,4.821389
.\images_fake\1056.png,-12.002981,4.858422
.\images_fake\1057.png,-2.413630,4.874437
.\images_fake\1058.png,-7.034918,4.831398
.\images_fake\1059.png,-8.834922,4.851416
.\images_fake\1060.png,-6.813918,4.863427
.\images_fake\1061.png,-8.033304,4.784353
.\images_fake\1062.png,-10.406722,4.894455
.\images_fake\1063.png,-7.314547,4.803372
.\images_fake\1064.png,-8.584595,4.875438
.\images_fake\1065.png,-9.670450,4.918477
.\images_fake\1067.png,-5.993307,4.899459
.\images_fake\1070.png,-5.075138,4.829396
.\images_fake\1071.png,-6.642921,4.823389
.\images_fake\1072.png,-8.454380,4.842408
.\images_fake\1074.png,-4.556979,4.839405
.\images_fake\1075.png,-0.797371,4.864427
.\images_fake\1078.png,-1.968891,4.867430
.\images_fake\1079.png,-6.113302,4.855419
.\images_fake\1080.png,-6.457315,4.875438
.\images_fake\1082.png,-5.610169,4.877440
.\images_fake\1083.png,5.395191,4.859423
