filename,logit,time
.\images_real\0.png,-8.378802,6.175854
.\images_real\1.png,-14.644643,6.019991
.\images_real\10.png,-6.296502,6.170134
.\images_real\100.png,-8.054534,6.067291
.\images_real\1000.png,-1.293363,5.589392
.\images_real\10000.png,-3.766428,5.103627
.\images_real\10001.png,-1.101795,4.598725
.\images_real\10002.png,-6.988107,5.419856
.\images_real\10003.png,-3.911917,5.860957
.\images_real\10004.png,-5.573307,5.109766
.\images_real\10005.png,-6.189642,4.900050
.\images_real\10006.png,-3.233552,5.363917
.\images_real\10007.png,-6.387491,3.685149
.\images_real\10008.png,-4.747356,4.872580
.\images_real\10009.png,-5.909446,5.114921
.\images_real\1001.png,-6.675946,6.084837
.\images_real\10010.png,-7.099156,6.418098
.\images_real\10011.png,-5.989115,4.752348
.\images_real\10012.png,-8.228276,4.534905
.\images_real\10013.png,-2.870132,5.353462
.\images_real\10014.png,-6.665223,5.121966
.\images_real\10015.png,-3.661539,5.934936
.\images_real\10016.png,-5.331429,4.935080
.\images_real\10017.png,-3.996432,3.942080
.\images_real\10018.png,-9.880557,3.732744
.\images_real\10019.png,-5.367111,6.003713
.\images_real\1002.png,-7.611939,6.124452
.\images_real\10020.png,-4.468608,5.101108
.\images_real\10021.png,-3.556104,5.017850
.\images_real\10022.png,-7.967244,4.728083
.\images_real\10023.png,-8.809283,4.533407
.\images_real\10024.png,-8.679328,4.972577
.\images_real\10025.png,-4.285741,6.088509
.\images_real\10026.png,-3.465640,5.965678
.\images_real\10027.png,-4.914798,5.967165
.\images_real\10028.png,-10.239865,5.747311
.\images_real\10029.png,-6.587014,4.963712
.\images_real\1003.png,-5.997036,4.961639
.\images_real\10030.png,-4.967767,5.204438
.\images_real\10031.png,-7.072402,4.765013
.\images_real\10032.png,-3.716212,5.797798
.\images_real\10033.png,-6.607404,5.255807
.\images_real\10034.png,-6.449248,6.180897
.\images_real\10035.png,-8.064311,7.844064
.\images_real\10036.png,-5.473132,6.879675
.\images_real\10037.png,-4.742855,6.806177
.\images_real\10038.png,-3.168257,8.019644
.\images_real\10039.png,-2.922341,6.428310
.\images_real\1004.png,-7.860404,6.289087
.\images_real\10040.png,-5.260728,5.290847
.\images_real\10041.png,-7.640878,6.035702
.\images_real\10042.png,-6.056235,6.120178
.\images_real\10043.png,-4.550269,6.612126
.\images_real\10044.png,-5.327000,5.289328
.\images_real\10045.png,-10.305490,4.695666
.\images_real\10046.png,-8.343090,5.302999
.\images_real\10047.png,-8.025620,6.448844
.\images_real\10048.png,-7.910567,6.360145
.\images_real\10049.png,-13.358750,6.361789
.\images_real\1005.png,-8.970489,3.473141
.\images_real\10050.png,-13.066693,5.383580
.\images_real\10051.png,-8.710971,4.618003
.\images_real\10052.png,-14.571501,5.901794
.\images_real\10053.png,-17.246265,6.345101
.\images_real\10054.png,-8.903605,4.904502
.\images_real\10055.png,-12.243486,4.532624
.\images_real\10056.png,-8.173833,5.448158
.\images_real\10057.png,-16.308586,5.708949
.\images_real\10058.png,-9.763556,6.004835
.\images_real\10059.png,-7.732821,5.462481
.\images_real\1006.png,-6.786587,7.962770
.\images_real\10060.png,-6.388259,5.169351
.\images_real\10061.png,-12.381572,5.587901
.\images_real\10062.png,-4.807371,5.269308
.\images_real\10063.png,-6.225113,5.467629
.\images_real\10064.png,-10.059501,5.004581
.\images_real\10065.png,-9.823887,4.941666
.\images_real\10066.png,-3.833525,5.626999
.\images_real\10067.png,-4.798556,6.252572
.\images_real\10068.png,-6.903868,5.743478
.\images_real\10069.png,-9.088758,5.397843
.\images_real\1007.png,-9.926707,5.363241
.\images_real\10070.png,-4.439785,5.364597
.\images_real\10071.png,-8.215893,5.816129
.\images_real\10072.png,-5.340922,6.038764
.\images_real\10073.png,-4.327515,5.880661
.\images_real\10074.png,-3.436121,5.222197
.\images_real\10075.png,-6.303169,5.948298
.\images_real\10076.png,-10.090123,6.047395
.\images_real\10077.png,-5.598724,5.968909
.\images_real\10078.png,-10.112476,4.999696
.\images_real\10079.png,-6.070710,5.340347
.\images_real\1008.png,-3.010805,5.268187
.\images_real\10080.png,-6.560327,6.070896
.\images_real\10081.png,-7.638330,6.484223
.\images_real\10082.png,-8.959180,6.473873
.\images_real\10083.png,-8.149128,7.280835
.\images_real\10084.png,-5.897641,4.599338
.\images_real\10085.png,-8.143897,6.341556
.\images_real\10086.png,-5.049098,6.844995
.\images_real\10087.png,-8.719748,5.752752
.\images_real\10088.png,-8.723814,4.810594
.\images_real\10089.png,-9.837308,6.212472
.\images_real\1009.png,-11.301215,6.212472
.\images_real\10090.png,-6.717602,1.319684
.\images_real\10091.png,-8.742010,6.390614
.\images_real\10092.png,-8.747304,5.951139
.\images_real\10093.png,-7.159939,3.948736
.\images_real\10094.png,-8.985878,3.565595
.\images_real\10095.png,-8.471234,4.674297
.\images_real\10096.png,-9.316010,6.212701
.\images_real\10097.png,-6.510501,6.337539
.\images_real\10098.png,-10.004555,5.737071
.\images_real\10099.png,-7.431628,6.295603
.\images_real\101.png,-8.307391,6.035510
.\images_real\1010.png,-6.541706,6.410548
.\images_real\10100.png,-9.633797,5.889486
.\images_real\10101.png,-7.356356,4.490408
.\images_real\10102.png,-8.010890,5.718188
.\images_real\10103.png,-4.851627,4.477943
.\images_real\10104.png,-9.353611,6.287973
.\images_real\10105.png,-12.659060,4.516145
.\images_real\10106.png,-9.967237,5.394911
