red,green,blue,id
116,94,70,4
144,122,98,4
179,159,134,4
147,127,103,4
121,100,79,4
99,78,57,4
97,76,57,4
97,79,59,4
73,55,35,4
84,66,46,4
72,54,32,4
81,63,41,4
104,88,63,4
73,57,31,4
60,44,18,4
109,93,67,4
129,109,82,4
154,134,107,4
132,112,85,4
150,129,102,4
155,133,109,4
132,110,86,4
26,2,0,4
118,96,72,4
175,153,130,4
98,78,54,4
94,74,50,4
106,88,64,4
126,110,85,4
93,78,55,4
118,106,82,4
81,69,45,4
123,107,81,4
120,104,79,4
102,84,60,4
105,87,63,4
123,103,79,4
98,76,55,4
128,106,85,4
75,53,32,4
104,81,63,4
87,64,46,4
102,79,61,4
95,74,55,4
213,194,177,4
76,57,40,4
144,127,109,4
133,116,98,4
63,46,28,4
92,75,57,4
114,97,79,4
66,49,31,4
49,32,16,4
80,63,47,4
49,32,16,4
73,56,40,4
87,70,54,4
74,57,41,4
81,64,48,4
111,94,78,4
127,108,91,4
111,92,75,4
88,69,52,4
79,60,43,4
92,75,57,4
92,75,55,4
111,94,74,4
79,62,42,4
68,51,31,4
56,39,19,4
96,79,59,4
107,91,68,4
55,39,16,4
98,82,59,4
108,92,69,4
108,92,67,4
85,69,44,4
85,69,44,4
85,69,44,4
102,86,61,4
106,92,65,4
84,70,43,4
145,131,105,4
85,70,47,4
79,64,41,4
100,85,64,4
83,68,47,4
91,76,55,4
56,41,20,4
118,103,82,4
100,85,62,4
114,99,76,4
123,109,83,4
82,68,41,4
86,72,45,4
64,50,21,4
100,84,58,4
104,88,62,4
115,99,73,4
97,81,56,4
87,71,48,4
107,91,68,4
108,91,71,4
98,81,61,4
82,65,45,4
63,46,26,4
93,77,54,4
134,118,95,4
88,72,47,4
90,74,48,4
132,116,90,4
65,49,23,4
141,132,99,4
180,171,140,4
126,120,88,4
80,73,44,4
104,99,70,4
108,104,77,4
96,92,65,4
103,99,74,4
127,123,98,4
125,121,96,4
96,92,67,4
77,71,45,4
102,95,69,4
69,62,34,4
51,41,14,4
71,61,34,4
80,62,24,4
82,64,26,4
125,107,69,4
107,89,51,4
99,81,43,4
111,96,57,4
93,78,39,4
127,112,73,4
96,82,43,4
144,130,91,4
137,123,84,4
134,122,82,4
86,74,34,4
69,57,17,4
152,140,100,4
159,147,107,4
84,78,26,4
55,45,0,4
86,75,21,4
107,92,35,4
171,152,94,4
184,165,107,4
162,145,89,4
119,103,51,4
124,112,62,4
136,128,81,4
118,111,65,4
95,87,41,4
114,103,57,4
91,77,28,4
112,94,44,4
90,70,19,4
37,20,0,4
47,30,4,4
105,88,60,4
116,96,69,4
84,64,37,4
77,58,28,4
103,84,54,4
150,131,99,4
145,124,93,4
124,104,71,4
127,107,72,4
129,109,74,4
101,81,46,4
103,81,44,4
126,104,67,4
139,117,80,4
139,117,68,4
146,124,75,4
147,125,76,4
102,80,31,4
98,76,27,4
75,53,4,4
97,75,26,4
113,91,42,4
98,76,27,4
89,67,18,4
98,76,27,4
153,131,82,4
106,84,35,4
91,69,20,4
92,70,21,4
102,80,31,4
109,87,40,4
68,47,2,4
166,145,102,4
192,173,130,4
121,103,63,4
108,93,54,4
102,86,50,4
87,73,38,4
116,102,67,4
95,81,46,4
101,87,52,4
141,127,92,4
122,106,72,4
123,104,71,4
139,121,85,4
75,57,21,4
80,66,31,4
110,96,61,4
77,63,28,4
119,103,70,4
120,104,71,4
112,96,63,4
88,72,39,4
55,38,8,4
108,89,59,4
124,105,75,4
109,90,60,4
110,91,61,4
95,75,48,4
127,106,79,4
120,99,72,4
118,97,70,4
105,84,55,4
104,83,56,4
93,69,45,4
97,72,52,4
84,57,38,4
95,66,48,4
93,65,43,4
104,77,50,4
121,94,64,4
144,118,85,4
119,93,58,4
147,123,89,4
111,88,57,4
49,25,0,4
91,69,46,4
96,74,53,4
61,39,16,4
56,34,10,4
126,102,76,4
98,74,46,4
97,74,42,4
137,115,78,4
109,87,46,4
161,140,95,4
158,136,89,4
139,117,67,4
114,93,40,4
206,185,132,4
191,168,114,4
107,84,30,4
109,86,32,4
82,59,5,4
73,50,19,4
116,93,62,4
120,96,68,4
149,123,96,4
101,75,48,4
105,77,53,4
186,158,134,4
97,69,47,4
110,84,61,4
112,85,64,4
109,84,62,4
106,84,63,4
74,53,32,4
68,50,30,4
153,135,115,4
125,107,87,4
72,49,33,4
74,51,35,4
96,73,57,4
105,82,64,4
100,75,55,4
88,63,41,4
91,66,44,4
88,62,37,4
95,69,42,4
151,124,95,4
89,62,32,4
108,79,49,4
94,65,33,4
170,141,107,4
120,91,57,4
84,54,20,4
129,107,70,4
79,55,19,4
